Neighborhood,Borough,Population_2020,Per_Capita_Income_2020,Median_Income_2020,Mean_Travel_Time_Work_2020,Unemployment_Rate_2020
Greenpoint,Brooklyn,30972.0,55891.0,94418.0,37.9,2.7
Williamsburg,Brooklyn,48833.0,62355.0,101460.0,33.5,3.5
Williamsburg,Brooklyn,23804.0,12613.0,30500.0,23.3,2.0
Williamsburg,Brooklyn,45756.0,39369.0,59717.0,36.9,5.0
Brooklyn Heights,Brooklyn,20241.0,101610.0,138721.0,31.8,2.9
Boerum Hill,Brooklyn,29403.0,76340.0,121623.0,32.9,5.5
Fort Green,Brooklyn,27213.0,51709.0,72662.0,36.9,4.9
Clinton Hill,Brooklyn,23057.0,54612.0,91541.0,36.9,3.9
Bedford-Stuyvesant,Brooklyn,63603.0,34070.0,56646.0,39.8,5.3
Bedford-Stuyvesant,Brooklyn,71009.0,32145.0,56218.0,43.8,4.3
Bushwick,Brooklyn,44241.0,28927.0,59974.0,40.2,3.9
Bushwick,Brooklyn,48525.0,25397.0,51649.0,44.2,3.8
Cypress Hills,Brooklyn,31607.0,21723.0,54092.0,43.4,2.5
East New York (North),Brooklyn,30870.0,18878.0,39342.0,45.5,5.4
East New York-New Lots,Brooklyn,37711.0,21531.0,36948.0,48.4,5.6
Spring Creek-Starrett City,Brooklyn,12260.0,22383.0,31904.0,57.0,3.1
East New York-City Line,Brooklyn,33733.0,18588.0,36437.0,41.5,3.0
Carroll Gardens,Brooklyn,48462.0,63989.0,101077.0,36.8,5.0
Park Slope,Brooklyn,47113.0,83601.0,148057.0,39.5,2.7
Windsor Terrace-South Slope,Brooklyn,19205.0,63816.0,114733.0,41.9,2.7
Sunset Park,Brooklyn,41293.0,27974.0,59838.0,41.4,3.8
Sunset Park,Brooklyn,35759.0,19807.0,51137.0,45.1,3.8
Prospect Heights,Brooklyn,18746.0,68807.0,114854.0,37.1,3.3
Crown Heights (North),Brooklyn,69077.0,32799.0,50046.0,43.0,4.4
Crown Heights (South),Brooklyn,40795.0,28602.0,52916.0,40.8,4.5
Prospect Lefferts Gardens-Wingate,Brooklyn,38927.0,34667.0,57636.0,44.7,5.0
Bay Ridge,Brooklyn,66749.0,43443.0,77154.0,45.8,3.2
Dyker Heights,Brooklyn,34621.0,29063.0,63321.0,42.4,3.3
Bensonhurst,Brooklyn,79197.0,25039.0,54156.0,45.5,4.1
Bath Beach,Brooklyn,26443.0,29347.0,65925.0,49.2,3.2
Gravesend-Sheepshead Bay,Brooklyn,46229.0,27338.0,57254.0,48.2,3.2
Borough Park,Brooklyn,22360.0,18209.0,44367.0,44.1,3.0
Borough Park,Brooklyn,47733.0,16512.0,39114.0,32.0,2.4
Kensington,Brooklyn,29348.0,32426.0,66376.0,43.4,4.4
Mapleton-Midwood (West),Brooklyn,25392.0,28933.0,60879.0,36.9,2.6
Gravesend-Sheepshead Bay,Brooklyn,23153.0,27135.0,46433.0,48.5,4.3
Coney Island,Brooklyn,39838.0,23913.0,33879.0,49.3,4.4
Brighton Beach,Brooklyn,25281.0,27615.0,41399.0,45.6,2.7
Flatbush,Brooklyn,54127.0,28371.0,58951.0,45.5,3.9
Flatbush,Brooklyn,31567.0,33548.0,62281.0,42.6,3.5
Midwood,Brooklyn,36954.0,31200.0,59171.0,40.8,3.4
Gravesend-Sheepshead Bay,Brooklyn,38453.0,31573.0,61782.0,44.1,4.0
Madison,Brooklyn,32781.0,33796.0,72609.0,47.1,2.9
Gravesend-Sheepshead Bay,54556,35071.0,64428.0,48.5,3.7,
Ocean Hill,Brooklyn,28351.0,23134.0,41448.0,44.7,3.3
Brownsville,Brooklyn,38543.0,17922.0,20414.0,49.1,9.8
Flatbush,Brooklyn,35649.0,26840.0,56198.0,46.2,4.0
Flatbush,Brooklyn,28499.0,28247.0,60263.0,48.7,4.1
Flatbush,Brooklyn,32149.0,27544.0,55427.0,47.1,2.9
Flatbush,Brooklyn,30157.0,24930.0,44290.0,48.5,5.0
Mapleton-Flatlands,Brooklyn,56494.0,31511.0,78223.0,50.3,4.3
Marine Park-Mill Basin-Bergen Beach,Brooklyn,36335.0,42943.0,93877.0,46.0,2.1
Canarsie,Brooklyn,70482.0,29195.0,71740.0,50.3,3.3
Mott Haven,The Bronx,39378.0,15121.0,22996.0,42.2,7.0
Melrose,The Bronx,31712.0,17937.0,28586.0,43.4,6.0
Hunts Point,The Bronx,11322.0,14524.0,24335.0,42.2,5.2
Longwood,The Bronx,29651.0,15615.0,27697.0,46.3,7.7
Morrisania,The Bronx,25670.0,17325.0,27700.0,43.7,7.0
Claremont Village-Claremont (East),The Bronx,18741.0,14411.0,26304.0,48.4,8.6
Crotona Park East,The Bronx,21447.0,18064.0,28951.0,41.3,6.0
Concourse-Concourse Village,The Bronx,51227.0,18667.0,31614.0,42.3,5.6
High Bridge,The Bronx,23556.0,15958.0,30421.0,43.5,5.5
Mount Eden-Claremont (West),The Bronx,37517.0,15811.0,32602.0,43.4,7.1
University Heights,The Bronx,41078.0,14980.0,26562.0,45.1,7.2
Mount Hope,The Bronx,35447.0,16385.0,34778.0,43.4,6.3
Fordham,The Bronx,24089.0,13797.0,29398.0,44.7,10.0
West Farms,The Bronx,14276.0,16185.0,24006.0,42.7,9.4
Tremont,The Bronx,22833.0,15450.0,24754.0,46.9,6.5
Belmont,The Bronx,27443.0,14975.0,27936.0,43.8,9.0
University Heights (North)-Fordham,The Bronx,35016.0,17122.0,36469.0,46.1,8.3
Bedford Park,The Bronx,42898.0,19800.0,40028.0,46.3,7.0
Norwood,The Bronx,31191.0,19049.0,36111.0,46.2,6.9
Kings Bridge,The Bronx,27687.0,22433.0,47332.0,47.0,4.5
Kings Bridge-Marble Hill,The Bronx,19568.0,24348.0,43265.0,44.4,4.7
Spuyten Duyvil,The Bronx,37848.0,55461.0,94684.0,46.8,3.0
Soundview,The Bronx,52742.0,17548.0,34886.0,45.3,6.0
Soundview,The Bronx,27526.0,22260.0,39427.0,45.9,5.2
Union Port,The Bronx,31135.0,21919.0,44183.0,47.4,4.0
Parkchester,The Bronx,24791.0,28246.0,54961.0,51.6,5.3
Westchester Square,The Bronx,11887.0,20174.0,43859.0,45.7,5.9
Throgs Neck-Schuylerville,The Bronx,37413.0,33388.0,68772.0,41.4,4.0
Country Club,The Bronx,22402.0,37084.0,71234.0,41.9,3.3
Co-op City,The Bronx,32269.0,30640.0,52647.0,51.1,3.4
Pelham Parkway-Van Nest,The Bronx,23419.0,25373.0,53342.0,46.7,6.0
Morris Park,The Bronx,18531.0,33916.0,67705.0,39.9,4.9
Pelham Gardens,The Bronx,24444.0,29950.0,75391.0,43.5,3.3
Allerton,The Bronx,28933.0,20801.0,41159.0,48.4,6.8
Williams Bridge,The Bronx,47686.0,22399.0,46002.0,46.1,7.1
Baychester,The Bronx,44547.0,25611.0,59816.0,48.8,5.8
Wakefield-Williamsbridge,The Bronx,39213.0,29104.0,63717.0,47.7,4.6
Financial District,Manhattan,39642.0,111968.0,173609.0,26.3,2.7
Tribeca,Manhattan,18305.0,148960.0,200000.0,25.8,2.8
Soho,Manhattan,20452.0,98950.0,99098.0,26.5,1.8
Greenwich Village,Manhattan,29699.0,120560.0,144621.0,22.8,2.6
West Village,Manhattan,30426.0,127619.0,136043.0,26.0,3.7
Chinatown,Manhattan,35453.0,23707.0,26902.0,31.9,3.5
Lower East Side,Manhattan,39831.0,39933.0,43534.0,33.9,3.3
East Village,Manhattan,63071.0,53667.0,61288.0,30.7,3.0
Chelsea-Hudson Yards,Manhattan,56206.0,110534.0,117497.0,26.5,3.1
Hell's Kitchen,Manhattan,49587.0,84052.0,90421.0,28.5,3.9
Midtown,Manhattan,25250.0,132949.0,159326.0,24.9,2.8
Midtown,Manhattan,18310.0,130029.0,131648.0,24.2,2.7
Stuyvesant Town-Peter Cooper Village,Manhattan,19710.0,77973.0,118934.0,31.3,2.0
Gramercy,Manhattan,24821.0,105747.0,129230.0,26.9,3.3
Murray Hill,Manhattan,51926.0,90341.0,118411.0,26.8,2.3
Midtown,Manhattan,36636.0,143736.0,147536.0,26.0,1.6
Upper West Side-Lincoln Square,Manhattan,55559.0,128484.0,137475.0,29.4,2.5
Upper West Side (Central),Manhattan,81983.0,122095.0,126128.0,32.6,2.6
Upper West Side-Manhattan Valley,Manhattan,45148.0,67909.0,85664.0,36.1,3.7
Upper East Side,Manhattan,70252.0,99824.0,119302.0,30.4,1.6
Carnegie Hill,Manhattan,46592.0,169260.0,176770.0,28.4,1.9
Upper East Side,Manhattan,69000.0,93789.0,115577.0,33.8,2.1
Morningside Heights,Manhattan,33815.0,42141.0,66835.0,29.4,3.2
Manhattanville-West Harlem,Manhattan,19698.0,23897.0,37160.0,39.5,4.7
Hamilton Heights,Manhattan,44033.0,32156.0,54353.0,39.7,4.6
Harlem,Manhattan,41323.0,44980.0,59546.0,35.7,3.6
Harlem,Manhattan,66819.0,33225.0,47356.0,38.8,7.0
East Harlem,Manhattan,48697.0,36724.0,39606.0,34.1,4.9
East Harlem,Manhattan,52174.0,23984.0,30513.0,37.1,4.9
Washington Heights (South),Manhattan,72159.0,25691.0,52129.0,40.2,5.5
Washington Heights (North),Manhattan,67942.0,30935.0,60343.0,42.3,5.9
Inwood,Manhattan,34867.0,30004.0,54682.0,43.4,3.4
Steinway,Queens,40668.0,42902.0,78012.0,41.8,2.4
Astoria-Long Island City,Queens,12036.0,36863.0,59584.0,40.4,3.9
Astoria-Long Island City,Queens,41832.0,47247.0,80481.0,39.5,3.5
Astoria-Long Island City,Queens,30942.0,36881.0,65882.0,39.1,3.6
Queensbridge-Ravenswood-Dutch Kills,Queens,21207.0,31188.0,41712.0,40.7,4.9
Long Island City-Hunters Point,Queens,17148.0,82093.0,141685.0,32.6,3.8
Sunny Side,Queens,42495.0,35702.0,63699.0,38.2,2.7
Woodside,Queens,39037.0,29319.0,62029.0,37.5,2.8
Jackson Heights,Queens,76716.0,29914.0,60555.0,41.8,3.2
East Elmhurst,Queens,19957.0,21893.0,55507.0,43.2,3.4
Corona,Queens,31411.0,17998.0,62287.0,44.9,2.7
Elmhurst,Queens,79483.0,23791.0,55186.0,42.7,2.7
Corona,Queens,53328.0,19101.0,50884.0,45.5,2.9
Maspeth,Queens,34167.0,33997.0,76256.0,42.7,3.4
Ridgewood,Queens,58005.0,28903.0,72062.0,43.3,2.9
Glendale,Queens,28391.0,33606.0,82372.0,41.3,2.8
Middle Village,Queens,28510.0,37473.0,80757.0,43.8,2.8
Rego Park,Queens,23888.0,39106.0,68228.0,43.7,2.2
Forest Hills,Queens,72924.0,49806.0,83787.0,44.9,2.7
College Point,Queens,22594.0,27258.0,62562.0,41.9,2.3
Whitestone,Queens,23142.0,39560.0,87700.0,42.0,3.4
Clearview,Queens,18766.0,48475.0,85015.0,42.5,2.6
Murray Hill,Queens,45802.0,27779.0,53453.0,42.0,2.3
Flushing,Queens,26047.0,24819.0,47977.0,41.7,2.0
Queensboro Hill,Queens,16632.0,25889.0,58914.0,45.9,2.5
Flushing,Queens,50985.0,22454.0,37234.0,38.5,1.8
Kew Gardens Hills,Queens,26501.0,32397.0,73560.0,41.6,3.7
Pomonok-Electchester-Hillcrest,Queens,29329.0,27393.0,59139.0,44.8,7.3
Utopia,Queens,19144.0,35292.0,76325.0,46.8,3.7
Jamaica,Queens,19541.0,39521.0,78014.0,44.3,5.1
Jamaica Hills-Briarwood,Queens,33031.0,29984.0,68814.0,44.6,4.5
Kew Gardens,Queens,18718.0,43586.0,71956.0,44.1,2.3
Woodhaven-Richmond Hill,Queens,28042.0,24692.0,69073.0,46.6,3.1
Woodhaven-Richmond Hill,Queens,20342.0,24174.0,73146.0,48.8,4.6
Ozone Park (North),Queens,20195.0,25051.0,70534.0,47.7,4.8
Woodhaven-Richmond Hill,Queens,32741.0,27235.0,74265.0,48.3,4.0
South Ozone Park,Queens,66787.0,27227.0,79851.0,47.8,4.7
Ozone Park,Queens,19413.0,28023.0,79286.0,47.5,4.2
Howard Beach,Queens,23867.0,40192.0,75648.0,42.2,2.6
Auburndale,Queens,28518.0,34424.0,76077.0,44.0,2.5
Bayside,Queens,28426.0,41311.0,92136.0,44.6,2.2
Douglastown-Little Neck,Queens,21644.0,47034.0,96972.0,44.4,2.4
Oakland Gardens-Hollis Hills,Queens,20578.0,41407.0,81726.0,46.3,3.2
Jamaica,Queens,43978.0,21057.0,52537.0,48.6,4.9
Jamaica,Queens,33185.0,23120.0,58649.0,47.5,9.4
Baisley Park,Queens,33358.0,27728.0,71598.0,49.2,4.9
Springfield Gardens,Queens,24696.0,29850.0,62662.0,50.6,2.7
St. Albans,Queens,42097.0,31195.0,81747.0,48.6,4.2
Hollis,Queens,18659.0,29486.0,72926.0,48.1,5.3
Glen Oaks-Floral Park-New Hyde Park,Queens,21292.0,41971.0,90682.0,38.7,2.4
Bellerose,Queens,22120.0,33961.0,95119.0,44.5,2.9
Queens Village,Queens,45712.0,29007.0,82966.0,49.3,5.8
Cambria Heights,Queens,18050.0,37289.0,100431.0,50.0,3.7
Laurelton,Queens,21528.0,36747.0,93948.0,50.4,3.7
Springfield Gardens,Queens,17067.0,29636.0,87721.0,49.6,3.7
Rosedale,Queens,22152.0,32393.0,90502.0,52.3,4.2
The Rockaways,Queens,44941.0,23560.0,51978.0,49.2,5.0
Rockaway Beach-Arverne-Edgemere,Queens,31766.0,25416.0,47435.0,54.1,5.5
The Rockaways,Queens,20172.0,49648.0,90925.0,46.3,3.0
New Brighton,Staten Island,14353.0,30221.0,48560.0,47.7,2.9
Clifton,Staten Island,11869.0,22061.0,38154.0,45.4,2.4
Rosebank,Staten Island,18520.0,28232.0,57805.0,48.7,4.9
New Brighton,Staten Island,28181.0,37614.0,79481.0,42.8,2.2
Westerleigh-Castleton,Staten Island,25396.0,42913.0,100833.0,40.1,2.4
Port Richmond,Staten Island,14228.0,24381.0,58074.0,41.4,2.8
Mariners Harbor,Staten Island,25020.0,25790.0,70423.0,44.5,2.5
South Beach,Staten Island,29089.0,34406.0,77016.0,45.7,3.1
Midland Beach,Staten Island,22689.0,36543.0,83058.0,44.9,2.7
Todt Hill,Staten Island,24999.0,43200.0,103214.0,41.6,2.4
Bloomfield-Chelsea-Travis,Staten Island,34750.0,37702.0,90626.0,46.0,2.8
Oakwood,Staten Island,17150.0,37998.0,78795.0,45.3,2.9
Great Kills,Staten Island,44545.0,41006.0,100021.0,47.5,2.8
Rossville,Staten Island,24319.0,38083.0,94719.0,47.1,3.3
Annandale,Staten Island,33247.0,45979.0,113529.0,47.3,1.5
Charlestown-Richmond Valley,Staten Island,14145.0,44862.0,90889.0,44.7,2.1
Rikers Island,Queens,6864.0,3341.0,,,
Brooklyn Navy Yard,Brooklyn,6.0,71034.0,118909.0,34.6,
Fort Hamilton,Brooklyn,847.0,33424.0,108940.0,32.1,
Hutchinson Metro Center,The Bronx,546.0,9966.0,37498.0,36.1,0.7
United Nations,Manhattan,0.0,,,,
Sunnyside Yards (North),Queens,50.0,94137.0,174998.0,,
Sunnyside Yards (South),Queens,0.0,,,,
Fort Totten,Queens,0.0,,,,
Fort Wadsworth,Staten Island,418.0,30550.0,77988.0,18.2,
The Evergreens Cemetery,Brooklyn,0.0,,,,
Highland Park-Cypress Hills Cemeteries (South),Brooklyn,0.0,,,,
Green-Wood Cemetery,Brooklyn,0.0,,,,
Holy Cross Cemetery,Brooklyn,16.0,25315.0,137498.0,,
Hart Island,The Bronx,0.0,,,,
Woodlawn Cemetery,The Bronx,0.0,,,,
St. Michael's Cemetery,Queens,0.0,,,,
Calvary & Mount Zion Cemeteries,Queens,0.0,,,,
Mount Olivet & All Faiths Cemeteries,Queens,14.0,,67498.0,,
Middle Village Cemetery,Queens,0.0,,,,
St. John Cemetery,Queens,0.0,,,,
Highland Park-Cypress Hills Cemeteries (North),Queens,17.0,36224.0,34998.0,,
Mount Hebron & Cedar Grove Cemeteries,Queens,0.0,,,,
Montefiore Cemetery,Queens,0.0,,,,
LaGuardia Airport,Queens,0.0,,,,
John F. Kennedy International Airport,Queens,0.0,,,,
Lincoln Terrace Park,Brooklyn,0.0,,,,
Dyker Beach Park,Brooklyn,11.0,,9999.0,,100.0
Calvert Vaux Park,Brooklyn,0.0,,,,
Marine Park-Plumb Island,Brooklyn,0.0,,,,
McGuire Fields,Brooklyn,0.0,,,,
Canarsie Park & Pier,Brooklyn,0.0,,,,
Prospect Park,Brooklyn,0.0,,,,
Barren Island-Floyd Bennett Field,Brooklyn,8.0,,200000.0,,
Jamaica Bay (West),Brooklyn,0.0,,,,
Shirley Chisholm State Park,Brooklyn,0.0,,,,
North & South Brother Islands,The Bronx,0.0,,,,
Crotona Park,The Bronx,0.0,,,,
Yankee Stadium-Macombs Dam Park,The Bronx,0.0,,,,
Claremont Park,The Bronx,0.0,,,,
Soundview Park,The Bronx,123.0,59542.0,200000.0,,
Ferry Point Park-St. Raymond Cemetery,The Bronx,0.0,,,,
Van Cortlandt Park,The Bronx,0.0,,,,
Bronx Park,The Bronx,15.0,21600.0,54998.0,,13.3
Pelham Bay Park,The Bronx,13.0,,14998.0,,
The Battery-Governors Island-Ellis Island-Liberty Island,Manhattan,0.0,,,,
Randall's Island,Manhattan,1961.0,5870.0,,,7.9
Highbridge Park,Manhattan,0.0,,,,
Inwood Hill Park,Manhattan,22.0,,,,
Central Park,Manhattan,2.0,,,,
Astoria Park,Queens,0.0,,,,
Kissena Park,Queens,0.0,,,,
Cunningham Park,Queens,0.0,,,,
Spring Creek Park,Queens,5.0,51304.0,108121.0,38.2,
Alley Pond Park,Queens,39.0,17864.0,,,
Rockaway Community Park,Queens,0.0,,,,
Flushing Meadows-Corona Park,Queens,0.0,,,,
Forest Park,Queens,0.0,,,,
Jamaica Bay (East),Queens,0.0,,,,
Jacob Riis Park-Fort Tilden-Breezy Point Tip,Queens,11.0,30427.0,49998.0,,
Snug Harbor,Staten Island,3.0,31120.0,39571.0,44.8,
Fresh Kills,Staten Island,38.0,39605.0,88544.0,39.4,
Fresh Kills,Staten Island,21.0,86743.0,200000.0,34.5,
Hoffman & Swinburne Islands,Staten Island,0.0,,,,
Miller Field,Staten Island,22.0,32710.0,83115.0,42.9,2.4
Great Kills Park,Staten Island,0.0,,,,
